Method,nDCG,Delta,%,MRR,P,R,F1,MAP,rule,stat,threshold,alpha_low,alpha_high,high_conf_qids,low_conf_qids,used_dim,explained_variance
"adaptive(stat=gap15,thr=0.1139,lo=0.20,hi=0.45)",0.644675859874267,0.1440797706889536,28.781641287576534,0.9044444444444444,0.56,0.4805818989679521,0.5172603207666248,0.40867878077295966,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.2,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.25,hi=0.35)",0.6446580733475286,0.14406198416221516,28.778088218121397,0.9044444444444444,0.5586666666666668,0.47975668779186365,0.5162134854323999,0.40950052154278616,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.25,0.35,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.25,hi=0.45)",0.644525772037673,0.14392968285235963,28.75165946393939,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4090983853985033,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.25,0.45,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.25,hi=0.45)",0.644525772037673,0.14392968285235963,28.75165946393939,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4090983853985033,binary_high_conf_low_alpha,std,0.030915258166369343,0.25,0.45,11,4,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.15,hi=0.45)",0.6444713127831566,0.14387522359784322,28.740780582603133,0.9044444444444444,0.5613333333333332,0.47983166155104795,0.5173925503464158,0.4087713092360482,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.15,0.45,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.15,hi=0.45)",0.6444713127831566,0.14387522359784322,28.740780582603133,0.9044444444444444,0.5613333333333332,0.47983166155104795,0.5173925503464158,0.4087713092360482,binary_high_conf_low_alpha,std,0.030915258166369343,0.15,0.45,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.15,hi=0.45)",0.6444403117492595,0.14384422256394613,28.73458775877434,0.9044444444444444,0.56,0.4783678167538698,0.5159751160617214,0.4087761831620293,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.15,0.45,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.20,hi=0.35)",0.6443892252634049,0.14379313607809152,28.724382627939665,0.9044444444444444,0.5586666666666666,0.4773896591090455,0.5148401354644554,0.40827233535275187,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.2,0.35,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.20,hi=0.35)",0.6443269255705968,0.1437308363852834,28.711937526159204,0.9044444444444444,0.5573333333333333,0.4766489183683048,0.5138431149407985,0.40758304170589504,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.2,0.35,8,7,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.20,hi=0.40)",0.6441958719736757,0.14359978278836227,28.68575801741905,0.9044444444444444,0.5559999999999999,0.4784301839830904,0.5143066906078344,0.4087910535817475,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.2,0.4,4,11,512,0.7728558778762817
