qid,docno,score,rank,orig_score,kg_score,alpha
13,3198,0.12673014253377915,40,0.3200862407684326,-0.0021739229559898376,0.4
13,3585,0.12627306040376424,41,0.3157890439033508,-7.092859596014023e-05,0.4
13,2912,0.12531182989478112,42,0.3065221905708313,0.004504922777414322,0.4
13,3718,0.12512341998517512,43,0.2991474866867065,0.009107375517487526,0.4
13,3539,0.12470921277999876,44,0.2896361351013183,0.014757931232452393,0.4
13,4832,0.12415039166808128,45,0.282249391078949,0.018751058727502823,0.4
13,2859,0.12283453587442637,46,0.3037714660167694,0.002209915779531002,0.4
13,3638,0.12212896123528481,47,0.3235512375831604,-0.012152556329965591,0.4
13,3061,0.12197691984474658,48,0.3185190856456756,-0.009051190689206123,0.4
13,5363,0.12169613372534512,49,0.2825481295585632,0.01446146983653307,0.4
13,3537,0.1215192526578903,50,0.2893131077289581,0.00965668261051178,0.4
14,4714,0.37538293600082395,1,0.4202310442924499,0.34548419713974,0.4
14,4867,0.3057089507579803,2,0.1914957612752914,0.38185107707977295,0.4
14,4870,0.29169191122055055,3,0.2449479103088379,0.32285457849502563,0.4
14,3337,0.28420007824897764,4,0.1808576136827469,0.35309505462646484,0.4
14,2829,0.2785648167133331,5,0.3543011546134949,0.22807392477989197,0.4
14,2828,0.2498860701918602,6,0.4618573784828186,0.1085718646645546,0.4
14,2830,0.16224456280469896,7,0.2895761728286743,0.07735682278871536,0.4
14,4715,0.15164845883846284,8,0.2899344563484192,0.059457793831825256,0.4
14,3632,0.150464394595474,9,0.378016859292984,-0.0012372485361993313,0.4
14,4713,0.14728125929832458,10,0.2534146606922149,0.07652565836906433,0.4
14,3298,0.14596748873591422,11,0.3198292851448059,0.03005962446331978,0.4
14,2840,0.14138511717319485,12,0.2269965708255767,0.08431081473827362,0.4
14,4717,0.14008482098579403,13,0.2386380583047866,0.07438266277313232,0.4
14,4707,0.12955295965075495,14,0.3515353202819824,-0.0184352807700634,0.4
14,3740,0.1283812142908573,15,0.2878466248512268,0.02207094058394432,0.4
14,4862,0.12718673413619397,16,0.3075867891311645,0.006920030806213617,0.4
14,3308,0.12521085143089292,17,0.2011607736349105,0.07457756996154785,0.4
14,4657,0.12251268737018109,18,0.2793046832084656,0.01798469014465809,0.4
14,3302,0.12069841548800467,19,0.2587213218212127,0.028683144599199295,0.4
14,4438,0.11900179684162138,20,0.2064834833145141,0.06068067252635956,0.4
14,3368,0.1113470360636711,21,0.2149185389280319,0.04229936748743057,0.4
14,4708,0.10388149321079254,22,0.2638399004936218,-0.002757444977760315,0.4
14,4598,0.10363610312342642,23,0.1815366148948669,0.05170242860913277,0.4
14,3222,0.10356899956241249,24,0.2504956722259521,0.005617884453386068,0.4
14,3836,0.10184112899005413,25,0.2396597862243652,0.009962024167180061,0.4
14,4703,0.0996515467762947,26,0.2912367880344391,-0.028071947395801544,0.4
14,3324,0.0983331676572561,27,0.2369441092014312,0.005925873294472694,0.4
14,3757,0.09632919728755951,28,0.1861986219882965,0.036416247487068176,0.4
14,5452,0.0962058864533901,29,0.2052807211875915,0.0234893299639225,0.4
14,5465,0.09528474994003772,30,0.2180745899677276,0.013424856588244438,0.4
14,3534,0.0949984999373555,31,0.2267374694347381,0.007172520272433758,0.4
14,3633,0.09499268345534802,32,0.2151338756084442,0.014898555353283882,0.4
